"Player","Team","GP","MIN","PTS","P2M","P2A","P2p","P3M","P3A","P3p","FTM","FTA","FTp","OREB","DREB","AST","TOV","STL","BLK","PF","PM","RIM_M","RIM_A","PAINT_M","PAINT_A","MID_M","MID_A","3C_M","3C_A","3L_M","3L_A","3H_M","3H_A"
"Dario Brizuela","FC Barcelona",2,23,5,2,7,28.57,0,6,0,1,2,50,2,0,4,1,1,1,1,-18,0,1,1,4,1,2,0,0,0,6,0,0
"Donatas Motiejunas","AS Monaco",5,118,66,14,22,63.64,7,13,53.85,17,22,77.27,5,13,9,4,4,1,15,14,1,1,10,18,3,3,0,0,7,13,0,0
"Donta Hall","AS Monaco",5,47,16,6,7,85.71,0,0,NA,4,8,50,4,9,1,3,2,2,6,-1,4,4,2,3,0,0,0,0,0,0,0,0
"Dyshawn Pierre","Fenerbahce Beko Istanbul",5,69,22,6,11,54.55,3,6,50,1,2,50,1,5,4,0,3,0,3,-2,3,3,3,7,0,1,0,1,3,5,0,0
"Dzanan Musa","Real Madrid",3,46,19,3,7,42.86,4,12,33.33,1,1,100,1,4,5,1,1,0,3,10,0,0,3,6,0,1,0,0,4,12,0,0
"Elie Okobo","AS Monaco",5,136,62,17,29,58.62,6,24,25,10,10,100,1,9,14,8,3,0,12,7,2,3,10,18,5,8,0,0,6,24,0,0
"Facundo Campazzo","Real Madrid",3,72,47,10,13,76.92,5,8,62.5,12,14,85.71,2,7,18,6,2,0,7,19,1,2,9,11,0,0,0,0,5,8,0,0
"Filip Petrusev","Olympiacos Piraeus",5,102,51,18,31,58.06,1,4,25,12,15,80,2,20,3,7,2,3,13,55,6,7,10,21,2,3,0,0,0,3,1,1
"Gabriel Deck","Real Madrid",3,60,27,10,14,71.43,2,7,28.57,1,2,50,0,2,5,1,3,0,6,14,2,2,7,10,1,2,0,0,2,7,0,0
"Georgios Papagiannis","Fenerbahce Beko Istanbul",5,112,34,14,18,77.78,1,7,14.29,3,3,100,9,19,9,7,2,5,12,1,5,6,8,11,1,1,0,0,1,7,0,0
"Giannoulis Larentzakis","Olympiacos Piraeus",5,39,9,0,0,NA,2,7,28.57,3,3,100,0,1,3,2,1,0,6,7,0,0,0,0,0,0,1,2,1,5,0,0
"Guerschon Yabusele","Real Madrid",3,84,46,12,16,75,6,15,40,4,4,100,5,14,7,2,2,0,6,40,6,6,6,10,0,0,1,1,5,14,0,0
"Ignas Brazdeikis","Olympiacos Piraeus",1,8,2,1,2,50,0,0,NA,0,0,NA,1,1,0,0,0,0,0,-6,0,0,1,2,0,0,0,0,0,0,0,0
"Ioannis Papapetrou","Panathinaikos AKTOR Athens",5,116,50,6,13,46.15,11,19,57.89,5,6,83.33,4,8,6,3,3,1,13,52,0,1,4,6,2,6,4,6,7,13,0,0
"Isaiah Canaan","Olympiacos Piraeus",5,106,33,2,9,22.22,6,25,24,11,14,78.57,1,5,11,6,3,0,14,-2,0,0,2,7,0,2,1,3,5,22,0,0
"Jabari Parker","FC Barcelona",5,148,64,14,32,43.75,10,23,43.48,6,11,54.55,3,25,4,8,1,2,9,-8,7,7,7,19,0,6,1,5,9,18,0,0
"Jake Cohen","Maccabi Playtika Tel Aviv",5,59,28,8,11,72.73,4,8,50,0,0,NA,1,5,5,2,0,0,11,-5,6,6,1,4,1,1,1,2,3,6,0,0
"James Nnaji","FC Barcelona",1,5,6,3,3,100,0,0,NA,0,2,0,1,0,0,0,0,0,0,-3,3,3,0,0,0,0,0,0,0,0,0,0
"James Webb","Maccabi Playtika Tel Aviv",5,71,19,5,10,50,2,11,18.18,3,5,60,5,15,3,2,0,0,15,4,2,2,1,5,2,3,0,2,2,9,0,0
"Jan Vesely","FC Barcelona",5,119,44,17,39,43.59,0,1,0,10,12,83.33,13,5,5,8,4,2,16,-21,7,9,4,12,6,18,0,0,0,1,0,0
"Jaron Blossomgame","AS Monaco",5,136,38,12,20,60,4,13,30.77,2,3,66.67,6,15,1,2,7,2,8,-18,6,6,5,11,1,3,1,1,3,12,0,0
"Jasiel Rivero","Maccabi Playtika Tel Aviv",5,82,43,17,34,50,2,2,100,3,4,75,12,4,6,6,3,0,15,25,10,14,6,17,1,3,0,0,2,2,0,0
"Jerian Grant","Panathinaikos AKTOR Athens",5,95,23,6,11,54.55,3,9,33.33,2,3,66.67,1,7,15,2,3,0,10,12,1,1,2,4,3,6,2,3,1,5,0,1
