"Player","Team","GP","MIN","PTS","P2M","P2A","P2p","P3M","P3A","P3p","FTM","FTA","FTp","OREB","DREB","AST","TOV","STL","BLK","PF","PM","RIM_M","RIM_A","PAINT_M","PAINT_A","MID_M","MID_A","3C_M","3C_A","3L_M","3L_A","3H_M","3H_A"
"Noam Yaacov","ASVEL",26,264,57,19,47,40.43,2,17,11.76,13,18,72.22,4,15,33,18,8,0,39,-67,6,8,9,26,4,13,1,3,1,13,0,1
"Ognjen Dobric","Virtus Bologna",26,374,132,34,54,62.96,20,49,40.82,4,6,66.67,7,37,18,12,15,0,34,-63,11,13,22,38,1,3,4,6,16,43,0,0
"Ognjen Jaramaz","Partizan",22,282,71,20,37,54.05,8,38,21.05,7,15,46.67,8,21,33,12,10,1,45,-5,8,9,9,17,3,11,3,6,5,32,0,0
"Ognjen Kuzmic","Crvena Zvezda",3,20,0,0,4,0,0,0,NA,0,0,NA,6,1,5,1,0,1,1,7,0,2,0,2,0,0,0,0,0,0,0,0
"Omer Mayer","Maccabi Tel Aviv",3,15,3,0,0,NA,1,5,20,0,0,NA,0,1,2,1,0,0,1,-1,0,0,0,0,0,0,0,0,1,5,0,0
"Oriol Pauli","Barcelona",10,93,33,12,15,80,2,16,12.5,3,4,75,5,11,7,7,1,1,13,-1,4,5,7,9,1,1,1,2,1,14,0,0
"Oscar Da Silva","Barcelona",32,487,116,40,68,58.82,8,30,26.67,12,18,66.67,42,49,14,9,20,10,48,-9,18,26,20,35,2,7,3,10,5,20,0,0
"Panagiotis Kalaitzakis","Panathinaikos",20,137,48,17,25,68,4,17,23.53,2,2,100,5,9,6,4,4,0,19,-25,7,7,7,13,3,5,1,9,3,8,0,0
"Paris Lee","ASVEL",33,922,378,62,138,44.93,56,159,35.22,86,93,92.47,8,54,182,69,55,0,60,-85,21,36,32,80,9,22,8,16,48,139,0,4
"Perry Dozier","Partizan",33,693,304,98,168,58.33,25,85,29.41,33,45,73.33,25,74,103,67,43,6,83,-10,24,31,47,81,27,56,7,22,18,62,0,1
"Petr Cornelie","Monaco",26,265,77,15,28,53.57,14,40,35,5,11,45.45,23,26,18,14,7,7,42,43,14,20,1,8,0,0,1,3,13,36,0,1
"Rafael Menco","Maccabi Tel Aviv",18,156,53,9,20,45,11,26,42.31,2,4,50,6,20,6,8,4,2,22,35,0,0,8,14,1,6,4,7,7,19,0,0
"Rafi Menco","Maccabi Tel Aviv",2,9,0,0,1,0,0,0,NA,0,0,NA,1,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0
"Ricky Rubio","Barcelona",8,135,42,11,29,37.93,1,11,9.09,17,20,85,6,22,32,15,9,0,17,-12,1,2,4,15,6,12,0,2,1,8,0,0
"Ridvan Oncel","Efes",2,11,1,0,0,NA,0,0,NA,1,2,50,0,0,1,0,1,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0
"Rihards Lomazs","Virtus Bologna",8,65,26,5,9,55.56,4,8,50,4,5,80,0,4,2,4,0,0,9,-28,1,1,2,3,2,5,0,0,4,8,0,0
"Rodney McGruder","Olimpia Milan",7,128,53,14,25,56,6,20,30,7,11,63.64,7,11,6,2,4,0,12,16,8,10,6,12,0,3,5,9,1,10,0,1
"Rodrigue Beaubois","Efes",30,698,308,67,130,51.54,47,118,39.83,33,39,84.62,13,50,70,27,18,11,51,32,16,19,34,67,17,44,11,28,36,90,0,0
"Rokas Giedraitis","Crvena Zvezda",34,863,341,78,145,53.79,44,129,34.11,53,65,81.54,48,80,32,27,31,3,64,-39,23,34,49,93,6,18,11,32,33,96,0,0
"Rokas Jokubaitis","Barcelona",31,498,176,61,120,50.83,13,42,30.95,15,23,65.22,14,40,91,42,9,2,41,16,12,16,37,72,12,32,3,4,10,38,0,0
"Rolands Smits","Zalgiris",31,711,326,83,132,62.88,42,112,37.5,34,44,77.27,35,97,38,39,19,3,79,13,50,63,28,56,5,13,4,12,38,100,0,0
"Roman Sorkin","Maccabi Tel Aviv",28,478,209,73,131,55.73,12,30,40,27,36,75,43,53,15,32,8,18,57,-68,34,44,33,74,6,13,0,2,12,27,0,1
"Rudy Fernandez","Real Madrid",19,323,70,2,4,50,20,57,35.09,6,7,85.71,4,34,29,5,19,1,28,45,0,0,2,4,0,0,0,1,20,56,0,0
"Sander Raieste","Baskonia",21,164,23,7,13,53.85,3,14,21.43,0,0,NA,4,11,8,6,1,1,31,-107,5,5,2,5,0,3,0,5,3,9,0,0
"Scottie Wilbekin","Fenerbahce",34,840,450,42,96,43.75,102,257,39.69,60,70,85.71,16,60,117,54,36,1,59,178,6,10,27,63,9,23,12,19,90,234,0,4
"Sehmus Hazer","Fenerbahce",4,29,2,0,3,0,0,1,0,2,2,100,1,3,1,1,0,0,3,-18,0,1,0,1,0,1,0,0,0,1,0,0
"Semi Ojeleye","Valencia",27,603,360,67,132,50.76,40,85,47.06,106,122,86.89,38,82,11,41,21,6,47,28,29,45,31,61,7,26,10,18,30,67,0,0
"Serge Ibaka","Bayern",28,692,354,125,199,62.81,24,50,48,32,48,66.67,57,134,34,45,13,35,82,-48,43,43,61,115,21,41,0,0,24,50,0,0
"Sergio De Larrea","Valencia",1,17,0,0,2,0,0,1,0,0,0,NA,0,2,2,3,0,1,2,0,0,0,0,1,0,1,0,0,0,1,0,0
"Sergio Llull","Real Madrid",28,516,216,30,73,41.1,42,126,33.33,30,38,78.95,2,31,58,31,8,1,43,44,4,5,19,48,7,20,3,6,39,116,0,4
"Sergio Rodriguez","Real Madrid",27,406,104,15,49,30.61,23,70,32.86,5,6,83.33,4,32,110,45,12,0,63,-23,2,3,13,42,0,4,1,1,22,68,0,1
"Sertac Sanli","Fenerbahce",28,362,139,39,74,52.7,16,48,33.33,13,17,76.47,16,44,10,17,3,12,74,-28,16,23,13,29,10,22,2,4,14,43,0,1
"Shabazz Napier","Crvena Zvezda",28,647,292,49,106,46.23,43,147,29.25,65,77,84.42,13,47,92,64,33,0,45,8,22,29,16,41,11,36,2,3,41,144,0,0
"Shane Larkin","Efes",34,1074,571,93,168,55.36,87,220,39.55,124,136,91.18,6,92,175,66,37,2,49,-16,32,39,48,92,13,37,5,12,82,208,0,0
"Shaquielle McKissic","Olympiacos",25,365,147,33,57,57.89,16,54,29.63,33,44,75,10,17,20,18,18,0,33,26,22,29,10,24,1,4,3,11,13,42,0,1
"Shavon Shields","Olimpia Milan",29,884,456,85,144,59.03,74,190,38.95,64,78,82.05,19,89,82,59,39,2,48,-12,28,34,42,68,15,42,4,10,70,180,0,0
