ROUND;TM TAG;OPP TAG;TM NAME;OPP NAME;DATE;H/A;W/L;MIN;PTS;2PTM;2PTA;2PT%;3PTM;3PTA;3PT%;FGM;FGA;FG%;FTM;FTA;FT%;OR;DR;TR;AST;TO;ST;BLK;BLKA;PF;DF;VAL;+ / -;POSS;SHOOTING CHANCES;OFF PPP;DEF PPP;OFF RTG;DEF RTG;NET RTG;eFG%;TS%;RIM FREQ;RIM PPS;PAINT FREQ;PAINT PPS;MID FREQ;MID PPS;C3 FREQ;C3 PPS;L3 FREQ;L3 PPS;FT Ratio;TO%;LTO%;DTO%;AST%;AST% (2P);AST% (3P);AST% (FT);AST Ratio;AST/TO;OR%;OR% (after 2P);OR% (after 3P);OR% (after FT);DR%;DR% (after 2P);DR% (after 3P);DR% (after FT);TR%;ST%;BLK%;BLK% (2P);BLK% (3P);KILLS;PSF FREQ;DSF FREQ;ASTED_2FG;ASTED_3FG;ASTED_FT;ASTED_FT PTS;LTO;DTO;BLK2;BLK3;OR_RIM;TM OR_RIM;OR_PAINT;TM OR_PAINT;OR_NP2;TM OR_NP2;OR_3C;TM OR_3C;OR_3L;TM OR_3L;OR_FT;TM OR_FT;DR_RIM;TM DR_RIM;DR_PAINT;TM DR_PAINT;DR_NP2;TM DR_NP2;DR_3C;TM DR_3C;DR_3L;TM DR_3L;DR_FT;TM DR_FT;FTM_T;FTA_T;FTM_1;FTA_1;FTM_2;FTA_2;FT 0/2;FTM_3;FTA_3;FT 0/3;RIM_M;RIM_A;PAINT_M;PAINT_A;MID_M;MID_A;3C_M;3C_A;3L_M;3L_A;3H_M;3H_A
1;MIL;FEN;EA7 Emporio Armani Milan;Fenerbahce Beko Istanbul;06.10.2023;A;L;225;82;18;36;0,5;11;26;0,42;29;62;0,47;13;18;0,72;10;31;41;18;19;9;3;1;16;22;101;-3;79;89;0,92;1,04;103,8;109;-5,2;0,56;0,59;0,18;1,5;0,16;0,57;0,07;0,67;0,07;2;0,22;1,05;0,09;0,21;0,06;0,16;0,49;0,44;0,91;0;0,2;0,95;0,3;0,22;0,4;0,33;0,89;0,81;0,94;1;0,6;0,12;0,05;0,03;0;5;0;0;8;10;0;0;5;14;1;0;1;0;3;0;0;0;0;1;3;0;1;0;2;0;4;1;6;0;3;0;12;1;2;0;1;1;0;0;9;14;0;3;3;0;12;16;4;14;2;6;4;6;7;20;0;0
1;FEN;MIL;Fenerbahce Beko Istanbul;EA7 Emporio Armani Milan;06.10.2023;H;W;225;85;18;34;0,53;14;31;0,45;32;65;0,49;7;11;0,64;4;23;27;15;12;5;1;3;23;16;74;3;78;82;1,04;0,92;109;103,8;5,2;0,6;0,61;0,17;1,43;0,11;0,67;0,13;0,91;0,06;1,2;0,32;1,38;0,06;0,15;0,11;0,04;0,41;0,39;0,57;0;0,18;1,25;0,11;0,19;0,06;0;0,7;0,78;0,6;0,67;0,4;0,06;0,02;0;0;6;0;0;7;8;0;0;9;3;0;0;2;0;1;0;0;0;0;0;1;0;0;0;3;0;7;0;3;1;1;0;3;2;2;0;0;0;1;1;6;10;0;0;0;0;10;14;3;9;5;11;2;5;12;26;0;0
1;OLY;PAN;Olympiacos Piraeus;Panathinaikos AKTOR Athens;06.10.2023;A;W;225;88;19;35;0,54;15;32;0,47;34;67;0,51;5;6;0,83;8;22;30;20;14;13;2;2;20;17;100;10;75;83;1,06;0,93;117,3;102,6;14,7;0,62;0,64;0,23;1,26;0,14;0,83;0,05;1;0,05;0,75;0,34;1,5;0,02;0,17;0,1;0,07;0,56;0,63;0,53;0;0,24;1,43;0,24;0,27;0,24;0;0,76;0,67;0,85;1;0,48;0,17;0,04;0,06;0;7;1;0;12;8;0;0;8;6;2;0;2;1;1;0;0;0;2;0;2;0;0;0;3;0;4;0;3;0;0;0;9;2;0;1;0;0;2;2;3;4;0;0;0;0;12;19;5;12;2;4;1;4;14;28;0;0
1;PAN;OLY;Panathinaikos AKTOR Athens;Olympiacos Piraeus;06.10.2023;H;L;225;78;16;32;0,5;10;24;0,42;26;56;0,46;16;19;0,84;7;25;32;15;19;8;2;2;17;19;83;-10;76;84;0,93;1,06;102,6;117,3;-14,7;0,55;0,6;0,17;1,43;0,11;0,67;0,11;0,67;0,01;3;0,27;1,17;0,11;0,23;0,16;0,07;0,43;0,38;0,7;0,22;0,18;0,79;0,24;0,33;0,15;0;0,76;0,73;0,76;1;0,52;0,11;0,03;0,06;0;8;0;1;6;7;2;4;13;6;2;0;1;0;2;0;2;0;0;0;2;0;0;0;4;0;6;0;1;0;1;0;11;1;1;0;0;0;1;1;15;18;0;0;0;0;10;14;3;9;3;9;1;1;9;23;0;0
1;BAS;RMB;Baskonia Vitoria-Gasteiz;Real Madrid;06.10.2023;H;L;200;77;24;51;0,47;5;27;0,19;29;78;0,37;14;16;0,88;21;31;52;18;12;4;3;4;15;22;94;-2;75;96;0,8;0,96;102,7;108,2;-5,6;0,4;0,46;0,13;1,83;0,3;0,76;0,1;0,4;0;-;0,28;0,56;0,06;0,13;0,07;0,05;0,51;0,5;1;0,17;0,19;1,5;0,43;0,37;0,48;1;0,78;0,81;0,75;-;0,58;0,05;0,04;0,1;0;8;0;0;12;5;1;2;7;5;3;0;1;0;6;2;1;0;0;0;10;0;1;0;1;0;8;0;4;0;0;0;18;0;0;0;1;1;1;1;11;12;0;0;0;0;11;12;11;29;2;10;0;0;5;27;0;0
1;RMB;BAS;Real Madrid;Baskonia Vitoria-Gasteiz;06.10.2023;A;W;200;79;13;29;0,45;15;39;0,38;28;68;0,41;8;12;0,67;9;28;37;19;9;7;4;3;23;15;82;2;73;82;0,96;0,8;108,2;102,7;5,6;0,52;0,54;0,06;1,6;0,23;0,84;0,06;0,4;0,01;3;0,46;1,11;0,06;0,11;0,05;0,06;0,58;0,54;0,67;0,4;0,23;2,11;0,23;0,19;0,25;-;0,57;0,63;0,52;0;0,42;0,09;0,05;0,08;0;7;0;0;7;10;2;4;4;5;4;0;0;0;1;2;0;0;0;0;5;1;0;0;0;0;9;1;7;0;0;0;9;2;0;0;0;0;1;1;5;8;0;2;3;0;4;5;8;19;1;5;1;1;14;38;0;0
1;ASM;VAL;AS Monaco;Valencia Basket;06.10.2023;A;L;200;67;16;34;0,47;8;25;0,32;24;59;0,41;11;15;0,73;11;20;31;14;16;12;2;4;20;23;70;-3;68;81;0,83;0,84;98,5;101,4;-2,9;0,47;0,52;0,11;1,33;0,16;0,62;0,14;0,91;0,02;1,5;0,27;0,95;0,07;0,2;0,06;0,14;0,43;0,5;0,63;0;0,18;0,88;0,31;0,24;0,44;0;0,59;0,59;0,57;0;0,45;0,17;0,04;0,04;0,04;5;0;0;8;5;0;0;5;11;1;1;0;1;3;0;0;0;0;0;5;2;0;0;2;0;4;0;3;1;2;0;6;0;0;0;1;1;1;1;8;10;0;1;3;0;6;9;4;13;5;11;1;2;7;22;0;0
1;VAL;ASM;Valencia Basket;AS Monaco;06.10.2023;H;W;200;70;11;28;0,39;11;26;0,42;22;54;0,41;15;19;0,79;14;24;38;14;20;5;4;2;22;20;71;5;69;83;0,84;0,82;101,4;95,6;5,9;0,51;0,56;0,13;1,27;0,16;0,62;0,05;0;0,06;0,6;0,24;1,5;0,11;0,24;0,14;0,1;0,45;0,09;0,91;0,33;0,17;0,7;0,44;0,41;0,43;1;0,69;0,76;0,56;1;0,57;0,07;0,07;0,03;0,13;7;0;0;1;10;3;6;12;8;1;3;2;0;5;0;0;0;2;0;4;0;0;1;1;1;5;0;5;1;1;0;8;0;2;0;0;0;0;0;13;16;0;2;3;0;7;11;4;13;0;4;1;5;10;20;0;1
1;CZB;ASV;LDLC ASVEL Villeurbanne;Crvena Zvezda Meridianbet Belgrade;05.10.2023;H;W;200;73;17;29;0,59;9;25;0,36;26;54;0,48;12;21;0,57;9;22;31;17;16;5;3;2;14;21;81;-21;69;78;0,94;1,08;105,8;134,3;-28,5;0,56;0,59;0,1;1,75;0,19;0,8;0,08;1,33;0,05;1,5;0,27;1;0,1;0,21;0,13;0,08;0,52;0,41;0,78;0,43;0,22;1,06;0,28;0,36;0,25;0;0,56;0,48;0,69;0,5;0,44;0,07;0,04;0;0;3;0,5;0,43;7;7;3;3;10;6;0;0;1;0;3;0;0;0;0;0;4;0;0;0;0;0;6;3;1;0;0;0;10;1;1;0;0;0;1;1;5;10;1;6;9;0;7;8;6;15;4;6;2;4;7;21;0;0
1;ASV;CZB;Crvena Zvezda Meridianbet Belgrade;LDLC ASVEL Villeurbanne;05.10.2023;A;L;200;94;16;37;0,43;17;34;0,5;33;71;0,46;11;13;0,85;17;23;40;19;10;10;2;3;21;14;105;21;70;87;1,08;0,94;134,3;105,8;28,5;0,58;0,61;0,07;1,33;0,3;0,77;0,06;0,8;0,01;3;0,38;1,45;0,07;0,11;0,06;0,06;0,46;0,38;0,59;0,33;0,22;1,9;0,44;0,52;0,31;0,5;0,72;0,64;0,75;1;0,56;0,14;0,04;0;0;4;0,43;0,5;6;10;2;2;5;5;0;0;2;0;7;0;1;1;0;0;4;1;1;0;0;0;5;0;1;1;2;0;10;0;4;0;0;0;1;1;10;12;0;0;0;0;4;6;10;26;2;5;1;1;16;33;0;0
1;MTA;PAR;Partizan Mozzart Bet Belgrade;Maccabi Playtika Tel Aviv;05.10.2023;H;W;200;81;26;39;0,67;5;17;0,29;31;56;0,55;14;18;0,78;7;19;26;18;16;7;2;2;18;19;88;-15;73;80;1,01;1,07;111;128;-17;0,6;0,63;0,09;1,71;0,34;1,33;0,06;0,8;0,03;0;0,19;1;0,1;0,2;0,14;0,06;0,47;0,42;0,8;0,43;0,23;1,13;0,27;0,31;0,25;0;0,56;0,6;0,47;1;0,43;0,09;0,03;0;0;4;0,61;0,53;11;4;3;6;11;5;0;0;1;0;1;1;1;0;1;0;1;1;0;0;0;1;6;0;2;0;3;0;4;1;2;0;0;0;2;2;12;16;1;0;0;0;6;7;18;27;2;5;0;2;5;15;0;0
1;PAR;MTA;Maccabi Playtika Tel Aviv;Partizan Mozzart Bet Belgrade;05.10.2023;A;L;200;96;27;43;0,63;9;26;0,35;36;69;0,52;15;20;0,75;15;19;34;31;12;11;2;2;19;18;121;15;75;90;1,07;1,01;128;111;17;0,59;0,62;0,11;1,8;0,31;1,07;0,06;1,2;0,04;0;0,24;1,23;0,1;0,13;0,08;0,06;0,69;0,74;0,56;0,67;0,34;2,58;0,44;0,4;0,53;0;0,73;0,69;0,75;1;0,57;0,15;0,04;0;0;5;0,53;0,61;20;5;6;10;7;5;0;0;0;0;3;3;0;0;1;0;6;2;0;0;0;0;6;1;2;0;1;0;8;0;1;0;0;0;2;2;13;18;0;0;0;0;9;10;15;28;3;5;0;4;9;22;0;0
1;EFE;FCB;FC Barcelona;Anadolu Efes Istanbul;05.10.2023;A;L;200;91;32;42;0,76;6;20;0,3;38;62;0,61;9;12;0,75;9;26;35;21;13;5;3;1;15;15;114;17;71;80;1,14;0,94;128,2;105,7;22,5;0,66;0,68;0,14;1,82;0,35;1,43;0,04;1,33;0,03;3;0,23;0,67;0,06;0,16;0,11;0,05;0,49;0,53;0,67;0;0,26;1,62;0,36;0,5;0,31;0;0,74;0,61;0,88;-;0,58;0,07;0,04;0,08;0;5;0,2;0,47;17;4;0;0;9;4;3;0;1;0;3;0;1;0;0;0;4;0;0;0;1;0;6;1;3;0;3;0;11;1;0;0;0;0;1;2;8;10;0;0;0;0;10;11;20;28;2;3;2;2;4;18;0;0
1;FCB;EFE;Anadolu Efes Istanbul;FC Barcelona;05.10.2023;H;W;200;74;22;40;0,55;9;27;0,33;31;67;0,46;3;6;0,5;9;16;25;24;10;9;1;3;15;15;81;-17;70;79;0,94;1,14;105,7;128,2;-22,5;0,53;0,54;0,06;1,6;0,37;1,1;0,08;0,67;0,08;1,5;0,27;0,86;0,03;0,13;0,06;0,06;0,73;0,68;0,89;0,5;0,3;2,4;0,26;0,39;0,12;-;0,64;0,5;0,69;1;0,42;0,13;0,02;0,02;0;1;0,47;0,2;15;8;1;1;5;5;1;0;0;0;5;1;1;0;0;0;0;2;0;0;0;0;5;0;0;0;0;0;8;1;2;0;0;0;1;1;1;2;0;1;3;0;4;5;16;29;2;6;3;6;6;21;0;0
1;BER;BAY;FC Bayern Munich;ALBA Berlin;05.10.2023;A;L;200;80;23;36;0,64;9;31;0,29;32;67;0,48;7;10;0,7;20;29;49;12;16;5;3;3;21;17;88;12;68;88;0,91;0,96;117,6;100;17,6;0,54;0,56;0,13;1,64;0,19;1,06;0,09;1,25;0,06;0;0,3;1,04;0,06;0,18;0,11;0,07;0,33;0,22;0,67;0,25;0,14;0,75;0,59;0,46;0,7;-;0,91;1;0,82;1;0,74;0,07;0,06;0,1;0;7;0,48;0,29;5;6;1;2;10;6;3;0;1;0;3;1;1;0;2;1;9;2;0;0;2;0;7;0;5;0;2;0;9;3;1;0;0;0;0;0;7;10;1;0;0;0;9;11;9;17;5;8;0;5;9;26;0;0
1;BAY;BER;ALBA Berlin;FC Bayern Munich;05.10.2023;H;W;200;68;16;30;0,53;7;24;0,29;23;54;0,43;15;19;0,79;3;14;17;14;9;10;3;3;17;21;69;-12;68;71;0,96;0,91;100;117,6;-17,6;0,49;0,55;0,04;0,67;0,27;1,26;0,11;0,75;0,03;0;0,31;0,95;0,11;0,13;0,07;0,06;0,47;0,5;0,71;0,14;0,2;1,56;0,09;0;0,18;0;0,41;0,54;0,3;-;0,26;0,15;0,04;0,08;0;5;0,29;0,48;8;5;1;2;5;4;3;0;0;0;0;0;0;0;0;0;2;1;0;0;1;0;4;0;2;0;2;0;4;0;0;0;0;0;2;2;10;14;1;3;3;0;1;3;12;19;3;8;0;2;7;22;0;0
1;VIR;ZAL;Zalgiris Kaunas;Virtus Segafredo Bologna;05.10.2023;H;L;200;82;18;39;0,46;11;19;0,58;29;58;0,5;13;18;0,72;8;22;30;11;15;6;3;1;19;17;80;3;71;79;1,04;0,96;115,5;109,7;5,8;0,59;0,64;0,13;1;0,3;0,92;0,06;0,8;0;-;0,24;1,74;0,08;0,19;0,1;0,09;0,32;0,28;0,55;0;0,14;0,73;0,27;0,29;0,14;0,5;0,69;0,8;0,6;0,5;0,48;0,08;0,05;0,05;0,04;5;0,32;0,59;5;6;0;0;8;7;2;1;3;0;2;1;0;0;0;0;1;0;1;0;2;0;8;0;1;1;0;0;9;0;1;0;1;1;4;4;6;10;1;2;3;0;5;10;11;24;2;5;0;0;11;19;0;0
1;ZAL;VIR;Virtus Segafredo Bologna;Zalgiris Kaunas;05.10.2023;A;W;200;79;23;39;0,59;8;25;0,32;31;64;0,48;9;11;0,82;10;22;32;21;14;8;1;3;18;19;90;-3;72;82;0,96;1,04;109,7;115,5;-5,8;0,55;0,58;0,12;1,6;0,27;1,18;0,09;0,57;0;-;0,29;1;0,05;0,17;0,07;0,1;0,6;0,52;1;0,25;0,26;1,5;0,31;0,2;0,4;0,5;0,73;0,71;0,86;0,5;0,52;0,11;0,02;0,03;0;6;0,56;0,32;12;8;1;0;6;8;1;0;0;0;1;0;2;0;0;0;5;1;1;0;2;0;9;1;3;0;0;0;5;1;1;0;1;1;2;2;6;8;0;0;0;0;8;10;13;22;2;7;0;0;8;24;0;1
1;MIL;FEN;Fenerbahce Beko Istanbul;EA7 Emporio Armani Milan;06.10.2023;A;L;225;85;18;34;0,53;14;31;0,45;32;65;0,49;7;11;0,64;4;23;27;15;12;5;1;3;23;16;74;3;78;82;1,04;0,92;109;103,8;5,2;0,6;0,61;0,17;1,43;0,11;0,67;0,13;0,91;0,06;1,2;0,32;1,38;0,06;0,15;0,11;0,04;0,41;0,39;0,57;0;0,18;1,25;0,11;0,19;0,06;0;0,7;0,78;0,6;0,67;0,4;0,06;0,02;0;0;6;0,35;0,38;7;8;0;0;9;3;0;0;2;0;1;0;0;0;0;0;1;0;0;0;3;0;7;0;3;1;1;0;3;2;2;0;0;0;1;1;6;10;0;0;0;0;10;14;3;9;5;11;2;5;12;26;0;0
1;FEN;MIL;EA7 Emporio Armani Milan;Fenerbahce Beko Istanbul;06.10.2023;H;W;225;82;18;36;0,5;11;26;0,42;29;62;0,47;13;18;0,72;10;31;41;18;19;9;3;1;16;22;101;-3;79;89;0,92;1,04;103,8;109;-5,2;0,56;0,59;0,18;1,5;0,16;0,57;0,07;0,67;0,07;2;0,22;1,05;0,09;0,21;0,06;0,16;0,49;0,44;0,91;0;0,2;0,95;0,3;0,22;0,4;0,33;0,89;0,81;0,94;1;0,6;0,12;0,05;0,03;0;5;0,38;0,36;8;10;0;0;5;14;1;0;1;0;3;0;0;0;0;1;3;0;1;0;2;0;4;1;6;0;3;0;12;1;2;0;1;1;0;0;9;14;0;3;3;0;12;16;4;14;2;6;4;6;7;20;0;0
1;OLY;PAN;Panathinaikos AKTOR Athens;Olympiacos Piraeus;06.10.2023;A;W;225;78;16;32;0,5;10;24;0,42;26;56;0,46;16;19;0,84;7;25;32;15;19;8;2;2;17;19;83;-10;76;84;0,93;1,06;102,6;117,3;-14,7;0,55;0,6;0,17;1,43;0,11;0,67;0,11;0,67;0,01;3;0,27;1,17;0,11;0,23;0,16;0,07;0,43;0,38;0,7;0,22;0,18;0,79;0,24;0,33;0,15;0;0,76;0,73;0,76;1;0,52;0,11;0,03;0,06;0;8;0,24;0,53;6;7;2;4;13;6;2;0;1;0;2;0;2;0;0;0;2;0;0;0;4;0;6;0;1;0;1;0;11;1;1;0;0;0;1;1;15;18;0;0;0;0;10;14;3;9;3;9;1;1;9;23;0;0
1;PAN;OLY;Olympiacos Piraeus;Panathinaikos AKTOR Athens;06.10.2023;H;L;225;88;19;35;0,54;15;32;0,47;34;67;0,51;5;6;0,83;8;22;30;20;14;13;2;2;20;17;100;10;75;83;1,06;0,93;117,3;102,6;14,7;0,62;0,64;0,23;1,26;0,14;0,83;0,05;1;0,05;0,75;0,34;1,5;0,02;0,17;0,1;0,07;0,56;0,63;0,53;0;0,24;1,43;0,24;0,27;0,24;0;0,76;0,67;0,85;1;0,48;0,17;0,04;0,06;0;7;0,5;0,24;12;8;0;0;8;6;2;0;2;1;1;0;0;0;2;0;2;0;0;0;3;0;4;0;3;0;0;0;9;2;0;1;0;0;2;2;3;4;0;0;0;0;12;19;5;12;2;4;1;4;14;28;0;0
